region,district,value,month,indicator
Lower Shabelle,Afgooye,0.63,2015-07-01,cdi
Lower Shabelle,Baraawe,0.65,2015-07-01,cdi
Lower Shabelle,Kurtunwaarey,0.69,2015-07-01,cdi
Lower Shabelle,Qoryooley,0.68,2015-07-01,cdi
Lower Shabelle,Sablaale,0.78,2015-07-01,cdi
Lower Shabelle,Wanla Weyn,0.77,2015-07-01,cdi
Bay,Baydhaba,1.35,2015-07-01,cdi
Bay,Buur Hakaba,0.83,2015-07-01,cdi
Bay,Diinsoor,1.26,2015-07-01,cdi
Bay,Qansax Dheere,1.38,2015-07-01,cdi
Bakool,Xudur,1.38,2015-07-01,cdi
Bakool,Ceel Barde,1.3,2015-07-01,cdi
Bakool,Tayeeglow,1.31,2015-07-01,cdi
Bakool,Waajid,0.9,2015-07-01,cdi
Bakool,Rab Dhuure,1.21,2015-07-01,cdi
Lower Shabelle,Marka,0.59,2015-08-01,cdi
Lower Shabelle,Afgooye,0.64,2015-08-01,cdi
Lower Shabelle,Baraawe,0.62,2015-08-01,cdi
Lower Shabelle,Kurtunwaarey,0.69,2015-08-01,cdi
Lower Shabelle,Qoryooley,0.73,2015-08-01,cdi
Lower Shabelle,Sablaale,0.71,2015-08-01,cdi
Lower Shabelle,Wanla Weyn,0.7,2015-08-01,cdi
Bay,Baydhaba,1.12,2015-08-01,cdi
Bay,Buur Hakaba,0.76,2015-08-01,cdi
Bay,Diinsoor,1.12,2015-08-01,cdi
Bay,Qansax Dheere,1.06,2015-08-01,cdi
Bakool,Xudur,0.98,2015-08-01,cdi
Bakool,Ceel Barde,1.0,2015-08-01,cdi
Bakool,Tayeeglow,1.08,2015-08-01,cdi
Bakool,Waajid,0.77,2015-08-01,cdi
Bakool,Rab Dhuure,0.91,2015-08-01,cdi
Lower Shabelle,Marka,0.66,2015-09-01,cdi
Lower Shabelle,Afgooye,0.65,2015-09-01,cdi
Lower Shabelle,Baraawe,0.66,2015-09-01,cdi
Lower Shabelle,Kurtunwaarey,0.74,2015-09-01,cdi
Lower Shabelle,Qoryooley,0.79,2015-09-01,cdi
Lower Shabelle,Sablaale,0.77,2015-09-01,cdi
Lower Shabelle,Wanla Weyn,0.78,2015-09-01,cdi
Bay,Baydhaba,0.93,2015-09-01,cdi
