,date,forecast_latitude,forecast_longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,region,district,district_latitude,district_longitude
33,2024-11-17 21:00:00+00:00,4.125,43.875,31.0975,22.6475,1.2,0.0,9.0,12.0,21.273533,Bakool,Xudur,4.1237042,43.8915563
34,2024-11-18 21:00:00+00:00,4.125,43.875,32.5975,22.4975,0.0,0.0,0.0,13.0,21.398056,Bakool,Xudur,4.1237042,43.8915563
35,2024-11-12 21:00:00+00:00,3.25,43.625,28.5045,21.8045,17.2,0.0,12.0,93.0,12.496718,Bay,Baydhaba,3.26636,43.63929
36,2024-11-13 21:00:00+00:00,3.25,43.625,29.2045,22.5545,1.0,0.0,6.0,53.0,14.84318,Bay,Baydhaba,3.26636,43.63929
37,2024-11-14 21:00:00+00:00,3.25,43.625,30.3545,22.2045,0.0,0.0,0.0,3.0,17.727943,Bay,Baydhaba,3.26636,43.63929
38,2024-11-15 21:00:00+00:00,3.25,43.625,31.0545,21.4545,0.0,0.0,0.0,0.0,16.87398,Bay,Baydhaba,3.26636,43.63929
39,2024-11-16 21:00:00+00:00,3.25,43.625,31.5045,20.5045,0.3,0.0,3.0,18.0,12.413477,Bay,Baydhaba,3.26636,43.63929
40,2024-11-17 21:00:00+00:00,3.25,43.625,30.0045,22.6045,9.599999,0.0,12.0,19.0,21.575987,Bay,Baydhaba,3.26636,43.63929
41,2024-11-18 21:00:00+00:00,3.25,43.625,30.904501,22.0545,0.0,0.0,0.0,23.0,21.046917,Bay,Baydhaba,3.26636,43.63929
42,2024-11-12 21:00:00+00:00,2.75,44.125,30.389,23.639,13.7,0.0,14.0,83.0,8.209263,Bay,Buur Hakaba,2.794785,44.0784549
43,2024-11-13 21:00:00+00:00,2.75,44.125,30.639,24.289,11.500001,0.0,12.0,55.0,9.339208,Bay,Buur Hakaba,2.794785,44.0784549
44,2024-11-14 21:00:00+00:00,2.75,44.125,31.338999,23.789,0.1,0.0,1.0,3.0,16.78156,Bay,Buur Hakaba,2.794785,44.0784549
45,2024-11-15 21:00:00+00:00,2.75,44.125,32.239002,22.639,0.0,0.0,0.0,0.0,16.79314,Bay,Buur Hakaba,2.794785,44.0784549
46,2024-11-16 21:00:00+00:00,2.75,44.125,32.739002,22.588999,0.3,0.0,3.0,10.0,12.783802,Bay,Buur Hakaba,2.794785,44.0784549
47,2024-11-17 21:00:00+00:00,2.75,44.125,31.689,24.289,9.6,0.0,14.0,25.0,15.778516,Bay,Buur Hakaba,2.794785,44.0784549
48,2024-11-18 21:00:00+00:00,2.75,44.125,32.689003,23.989,1.2000002,0.0,7.0,33.0,17.917007,Bay,Buur Hakaba,2.794785,44.0784549
49,2024-11-12 21:00:00+00:00,2.0,42.75,31.437,23.937,46.8,0.1,12.0,70.0,10.787993,Bay,Diinsoor,1.995,42.8089931
50,2024-11-13 21:00:00+00:00,2.0,42.75,30.887,23.587,8.5,0.0,10.0,63.0,12.313894,Bay,Diinsoor,1.995,42.8089931
51,2024-11-14 21:00:00+00:00,2.0,42.75,30.887,23.837,0.2,0.0,1.0,8.0,12.371645,Bay,Diinsoor,1.995,42.8089931
52,2024-11-15 21:00:00+00:00,2.0,42.75,31.786999,23.687,0.1,0.0,1.0,3.0,15.459054,Bay,Diinsoor,1.995,42.8089931
53,2024-11-16 21:00:00+00:00,2.0,42.75,32.586998,22.587,0.0,0.0,0.0,10.0,11.609651,Bay,Diinsoor,1.995,42.8089931
54,2024-11-17 21:00:00+00:00,2.0,42.75,31.286999,23.337,0.6,0.0,6.0,7.0,14.759999,Bay,Diinsoor,1.995,42.8089931
55,2024-11-18 21:00:00+00:00,2.0,42.75,32.037,23.987,1.2,0.0,6.0,36.0,16.981165,Bay,Diinsoor,1.995,42.8089931
56,2024-11-12 21:00:00+00:00,2.875,43.0,29.7305,22.4805,10.900002,0.2,11.0,93.0,13.202726,Bay,Qansax Dheere,2.87123,43.004341
57,2024-11-13 21:00:00+00:00,2.875,43.0,30.130499,22.8305,0.4,0.0,3.0,58.0,16.039202,Bay,Qansax Dheere,2.87123,43.004341
58,2024-11-14 21:00:00+00:00,2.875,43.0,31.4305,22.530499,0.6,0.0,2.0,10.0,15.646544,Bay,Qansax Dheere,2.87123,43.004341
59,2024-11-15 21:00:00+00:00,2.875,43.0,31.2305,22.6805,0.0,0.0,0.0,0.0,16.65754,Bay,Qansax Dheere,2.87123,43.004341
60,2024-11-16 21:00:00+00:00,2.875,43.0,32.0305,21.130499,0.0,0.0,0.0,10.0,14.336861,Bay,Qansax Dheere,2.87123,43.004341
61,2024-11-17 21:00:00+00:00,2.875,43.0,30.2305,22.9805,5.7,0.0,11.0,15.0,16.704155,Bay,Qansax Dheere,2.87123,43.004341
62,2024-11-18 21:00:00+00:00,2.875,43.0,29.9305,23.130499,2.1000001,0.0,10.0,29.0,20.523155,Bay,Qansax Dheere,2.87123,43.004341
