,date,forecast_latitude,forecast_longitude,temperature_2m,precipitation_probability,precipitation,region,district,district_latitude,district_longitude
42,2024-11-14 15:00:00+00:00,4.75,43.25,31.239,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
43,2024-11-14 16:00:00+00:00,4.75,43.25,29.689,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
44,2024-11-14 17:00:00+00:00,4.75,43.25,28.289,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
45,2024-11-14 18:00:00+00:00,4.75,43.25,27.088999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
46,2024-11-14 19:00:00+00:00,4.75,43.25,26.139,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
47,2024-11-14 20:00:00+00:00,4.75,43.25,25.289,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
48,2024-11-14 21:00:00+00:00,4.75,43.25,24.539,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
49,2024-11-14 22:00:00+00:00,4.75,43.25,23.989,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
50,2024-11-14 23:00:00+00:00,4.75,43.25,23.389,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
51,2024-11-15 00:00:00+00:00,4.75,43.25,22.739,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
52,2024-11-15 01:00:00+00:00,4.75,43.25,22.389,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
53,2024-11-15 02:00:00+00:00,4.75,43.25,21.989,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
54,2024-11-15 03:00:00+00:00,4.75,43.25,22.289,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
55,2024-11-15 04:00:00+00:00,4.75,43.25,22.989,4.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
56,2024-11-15 05:00:00+00:00,4.75,43.25,23.739,11.0,0.1,Bakool,Ceel Barde,4.6947431,43.2434254
57,2024-11-15 06:00:00+00:00,4.75,43.25,25.838999,15.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
58,2024-11-15 07:00:00+00:00,4.75,43.25,28.039,17.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
59,2024-11-15 08:00:00+00:00,4.75,43.25,29.139,17.0,0.1,Bakool,Ceel Barde,4.6947431,43.2434254
60,2024-11-15 09:00:00+00:00,4.75,43.25,30.989,15.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
61,2024-11-15 10:00:00+00:00,4.75,43.25,31.989,11.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
62,2024-11-15 11:00:00+00:00,4.75,43.25,32.439003,4.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
63,2024-11-15 12:00:00+00:00,4.75,43.25,32.689003,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
64,2024-11-15 13:00:00+00:00,4.75,43.25,32.239002,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
65,2024-11-15 14:00:00+00:00,4.75,43.25,31.439,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
66,2024-11-15 15:00:00+00:00,4.75,43.25,30.088999,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
67,2024-11-15 16:00:00+00:00,4.75,43.25,28.139,0.0,0.0,Bakool,Ceel Barde,4.6947431,43.2434254
