,date,forecast_latitude,forecast_longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,station_id,station_name,station_latitude,station_longitude
0,2021-11-13 21:00:00+00:00,2.355008602142334,42.30215835571289,34.552,25.002,0.6,0.6,5.0,17,Bardheere,2.35,42.2833
1,2021-11-14 21:00:00+00:00,2.355008602142334,42.30215835571289,35.752,24.552,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
2,2021-11-15 21:00:00+00:00,2.355008602142334,42.30215835571289,36.052,24.602,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
3,2021-11-16 21:00:00+00:00,2.355008602142334,42.30215835571289,35.802,24.702,0.1,0.1,1.0,17,Bardheere,2.35,42.2833
4,2021-11-17 21:00:00+00:00,2.355008602142334,42.30215835571289,35.702,25.102,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
5,2021-11-18 21:00:00+00:00,2.355008602142334,42.30215835571289,35.752,24.402,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
6,2021-11-19 21:00:00+00:00,2.355008602142334,42.30215835571289,36.552,24.652,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
7,2021-11-20 21:00:00+00:00,2.355008602142334,42.30215835571289,36.802,24.802,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
8,2021-11-21 21:00:00+00:00,2.355008602142334,42.30215835571289,36.202,24.202,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
9,2021-11-22 21:00:00+00:00,2.355008602142334,42.30215835571289,35.702,24.402,0.1,0.1,1.0,17,Bardheere,2.35,42.2833
10,2021-11-23 21:00:00+00:00,2.355008602142334,42.30215835571289,36.952,23.902,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
11,2021-11-24 21:00:00+00:00,2.355008602142334,42.30215835571289,37.552,24.102,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
12,2021-11-25 21:00:00+00:00,2.355008602142334,42.30215835571289,34.552,25.202,6.8999996,6.8999996,10.0,17,Bardheere,2.35,42.2833
13,2021-11-26 21:00:00+00:00,2.355008602142334,42.30215835571289,29.902,24.502,19.900002,19.900002,14.0,17,Bardheere,2.35,42.2833
14,2021-11-27 21:00:00+00:00,2.355008602142334,42.30215835571289,31.102,23.552,4.7,4.7,4.0,17,Bardheere,2.35,42.2833
15,2021-11-28 21:00:00+00:00,2.355008602142334,42.30215835571289,30.552,23.502,5.5,5.5,6.0,17,Bardheere,2.35,42.2833
16,2021-11-29 21:00:00+00:00,2.355008602142334,42.30215835571289,34.052,22.702,0.3,0.3,2.0,17,Bardheere,2.35,42.2833
17,2021-11-30 21:00:00+00:00,2.355008602142334,42.30215835571289,34.151997,22.252,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
18,2021-12-01 21:00:00+00:00,2.355008602142334,42.30215835571289,34.252,22.902,0.1,0.1,1.0,17,Bardheere,2.35,42.2833
19,2021-12-02 21:00:00+00:00,2.355008602142334,42.30215835571289,34.651997,23.502,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
20,2021-12-03 21:00:00+00:00,2.355008602142334,42.30215835571289,34.601997,23.052,0.1,0.1,1.0,17,Bardheere,2.35,42.2833
21,2021-12-04 21:00:00+00:00,2.355008602142334,42.30215835571289,35.552,23.402,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
22,2021-12-05 21:00:00+00:00,2.355008602142334,42.30215835571289,35.702,22.902,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
23,2021-12-06 21:00:00+00:00,2.355008602142334,42.30215835571289,35.452,23.902,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
24,2021-12-07 21:00:00+00:00,2.355008602142334,42.30215835571289,35.552,24.552,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
25,2021-12-08 21:00:00+00:00,2.355008602142334,42.30215835571289,36.952,24.902,0.1,0.1,1.0,17,Bardheere,2.35,42.2833
26,2021-12-09 21:00:00+00:00,2.355008602142334,42.30215835571289,36.752,23.502,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
27,2021-12-10 21:00:00+00:00,2.355008602142334,42.30215835571289,37.752,23.402,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
28,2021-12-11 21:00:00+00:00,2.355008602142334,42.30215835571289,38.252,24.002,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
29,2021-12-12 21:00:00+00:00,2.355008602142334,42.30215835571289,37.952,25.752,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
30,2021-12-13 21:00:00+00:00,2.355008602142334,42.30215835571289,37.002,25.302,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
31,2021-12-14 21:00:00+00:00,2.355008602142334,42.30215835571289,36.052,25.452,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
32,2021-12-15 21:00:00+00:00,2.355008602142334,42.30215835571289,38.202,24.752,0.0,0.0,0.0,17,Bardheere,2.35,42.2833
33,2021-12-16 21:00:00+00:00,2.355008602142334,42.30215835571289,36.702,24.452,8.5,8.5,8.0,17,Bardheere,2.35,42.2833
