full,high,moderate,reading,reading_date,river,station,week_number,year
10.4,8.2,7.4,NaN,2024-11-08,Jubba,Bardheere,45,2024
8.3,7.3,6.5,6.72,2024-11-08,Shabelle,Belet Weyne,45,2024
12.0,10.0,9.0,NaN,2024-11-08,Jubba,Bualle,45,2024
8.0,7.2,6.5,5.48,2024-11-08,Shabelle,Bulo Burti,45,2024
5.5,5.25,5.0,4.47,2024-11-08,Shabelle,Jowhar,45,2024
7.0,6.0,5.5,5.28,2024-11-08,Jubba,Luuq,45,2024
