,date,station_id,station_name,station_latitude,station_longitude,forecast_latitude,forecast_longitude,temperature_2m,precipitation_probability,precipitation
55,2024-11-15 04:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.494,0.0,0.0
56,2024-11-15 05:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,26.293999,0.0,0.0
57,2024-11-15 06:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,27.394,0.0,0.0
58,2024-11-15 07:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,28.844,3.0,0.0
59,2024-11-15 08:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,30.444,6.0,0.0
60,2024-11-15 09:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.793999,8.0,0.0
61,2024-11-15 10:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.194,2.0,0.1
62,2024-11-15 11:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.644,3.0,0.0
63,2024-11-15 12:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,33.144,3.0,0.0
64,2024-11-15 13:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,33.444,3.0,0.0
65,2024-11-15 14:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,33.294,2.0,0.0
66,2024-11-15 15:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.094,2.0,0.0
67,2024-11-15 16:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,30.543999,1.0,0.0
68,2024-11-15 17:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,29.694,0.0,0.0
69,2024-11-15 18:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,29.244,0.0,0.0
70,2024-11-15 19:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,28.444,0.0,0.0
71,2024-11-15 20:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,27.744,0.0,0.0
72,2024-11-15 21:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,26.793999,0.0,0.0
73,2024-11-15 22:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,26.244,0.0,0.0
74,2024-11-15 23:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.793999,0.0,0.0
75,2024-11-16 00:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.494,0.0,0.0
76,2024-11-16 01:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.244,0.0,0.0
77,2024-11-16 02:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.043999,0.0,0.0
78,2024-11-16 03:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.144,0.0,0.0
79,2024-11-16 04:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.494,0.0,0.0
80,2024-11-16 05:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,26.144,0.0,0.0
81,2024-11-16 06:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,27.043999,0.0,0.0
82,2024-11-16 07:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,28.494,1.0,0.0
83,2024-11-16 08:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,30.194,2.0,0.0
84,2024-11-16 09:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.644,3.0,0.0
85,2024-11-16 10:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.593998,4.0,0.0
86,2024-11-16 11:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,33.244,5.0,0.0
87,2024-11-16 12:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,33.494,5.0,0.0
88,2024-11-16 13:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,33.194,5.0,0.0
89,2024-11-16 14:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.494,4.0,0.0
90,2024-11-16 15:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.694,3.0,0.0
91,2024-11-16 16:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,30.844,2.0,0.0
92,2024-11-16 17:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,29.844,1.0,0.0
93,2024-11-16 18:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,28.944,0.0,0.0
94,2024-11-16 19:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,28.094,0.0,0.0
95,2024-11-16 20:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,27.344,0.0,0.0
96,2024-11-16 21:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,26.594,0.0,0.0
97,2024-11-16 22:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.894,0.0,0.0
98,2024-11-16 23:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.293999,0.0,0.0
99,2024-11-17 00:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,24.744,0.0,0.0
100,2024-11-17 01:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,24.144,0.0,0.0
101,2024-11-17 02:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,23.644,0.0,0.0
102,2024-11-17 03:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,23.644,0.0,0.0
103,2024-11-17 04:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,24.394,0.0,0.0
104,2024-11-17 05:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.644,0.0,0.0
105,2024-11-17 06:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,27.043999,0.0,0.0
106,2024-11-17 07:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,28.694,2.0,0.0
107,2024-11-17 08:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,30.494,2.0,0.0
108,2024-11-17 09:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.994,2.0,0.0
109,2024-11-17 10:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,33.093998,3.0,0.0
110,2024-11-17 11:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,33.944,3.0,0.0
111,2024-11-17 12:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,34.244,3.0,0.0
112,2024-11-17 13:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,33.843998,3.0,0.0
113,2024-11-17 14:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.944,3.0,0.0
114,2024-11-17 15:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.044,3.0,0.0
115,2024-11-17 16:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.293999,2.0,0.0
116,2024-11-17 17:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,30.594,2.0,0.0
117,2024-11-17 18:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,30.094,2.0,0.0
118,2024-11-17 19:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,28.094,1.0,0.0
119,2024-11-17 20:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,27.543999,1.0,0.0
120,2024-11-17 21:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,26.944,0.0,0.0
121,2024-11-17 22:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,26.144,0.0,0.0
122,2024-11-17 23:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.293999,0.0,0.0
123,2024-11-18 00:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,24.644,0.0,0.0
124,2024-11-18 01:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,24.244,0.0,0.0
125,2024-11-18 02:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,24.043999,0.0,0.0
126,2024-11-18 03:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,24.293999,0.0,0.0
127,2024-11-18 04:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.244,0.0,0.0
128,2024-11-18 05:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,26.594,0.0,0.0
129,2024-11-18 06:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,27.944,1.0,0.0
130,2024-11-18 07:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,29.144,1.0,0.0
131,2024-11-18 08:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,30.344,1.0,0.0
132,2024-11-18 09:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.293999,2.0,0.0
133,2024-11-18 10:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.944,2.0,0.0
134,2024-11-18 11:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.394,2.0,0.0
135,2024-11-18 12:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.394,3.0,0.0
136,2024-11-18 13:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.844,4.0,0.1
137,2024-11-18 14:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,30.894,4.0,0.1
138,2024-11-18 15:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,29.944,5.0,0.1
139,2024-11-18 16:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,29.144,6.0,0.0
140,2024-11-18 17:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,28.394,7.0,0.0
141,2024-11-18 18:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,27.694,8.0,0.0
142,2024-11-18 19:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,27.144,9.0,0.7
143,2024-11-18 20:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,26.694,10.0,0.7
144,2024-11-18 21:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,26.293999,11.0,0.7
145,2024-11-18 22:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.944,12.0,0.7
146,2024-11-18 23:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.694,12.0,0.7
147,2024-11-19 00:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.494,13.0,0.7
148,2024-11-19 01:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.293999,13.0,0.0
149,2024-11-19 02:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.144,14.0,0.0
150,2024-11-19 03:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.293999,14.0,0.0
151,2024-11-19 04:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,25.994,13.0,0.0
152,2024-11-19 05:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,26.994,13.0,0.0
153,2024-11-19 06:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,28.043999,13.0,0.0
154,2024-11-19 07:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,29.144,13.0,0.1
155,2024-11-19 08:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,30.293999,13.0,0.1
156,2024-11-19 09:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.293999,13.0,0.1
157,2024-11-19 10:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.094,14.0,0.0
158,2024-11-19 11:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.744,14.0,0.0
159,2024-11-19 12:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.994,15.0,0.0
160,2024-11-19 13:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,32.644,16.0,0.0
161,2024-11-19 14:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.894,18.0,0.0
162,2024-11-19 15:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,31.094,20.0,0.0
163,2024-11-19 16:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,30.344,22.0,0.0
164,2024-11-19 17:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,29.594,24.0,0.0
165,2024-11-19 18:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,28.844,27.0,0.0
166,2024-11-19 19:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,28.194,29.0,0.0
167,2024-11-19 20:00:00+00:00,17,Bardheere,2.35,42.2833,2.375,42.25,27.543999,31.0,0.0
168,2024-11-12 21:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,26.748499,8.0,0.0
169,2024-11-12 22:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,26.3485,3.0,0.0
170,2024-11-12 23:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,25.748499,13.0,0.7
171,2024-11-13 00:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,25.3985,25.0,0.6
172,2024-11-13 01:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,24.748499,33.0,2.0
173,2024-11-13 02:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,24.6485,50.0,1.0
174,2024-11-13 03:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,24.5985,70.0,0.5
175,2024-11-13 04:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,24.998499,68.0,0.3
176,2024-11-13 05:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,25.748499,73.0,0.2
177,2024-11-13 06:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,26.7985,63.0,0.2
178,2024-11-13 07:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,27.8985,45.0,0.1
179,2024-11-13 08:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,28.8485,45.0,0.0
180,2024-11-13 09:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,28.9485,33.0,0.1
181,2024-11-13 10:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,27.9485,35.0,1.4
182,2024-11-13 11:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,28.4485,25.0,0.2
183,2024-11-13 12:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,29.1485,20.0,0.0
184,2024-11-13 13:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,29.248499,18.0,0.0
185,2024-11-13 14:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,28.6985,15.0,0.0
186,2024-11-13 15:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,27.6485,8.0,0.0
187,2024-11-13 16:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,26.7985,3.0,0.0
188,2024-11-13 17:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,25.998499,3.0,0.0
189,2024-11-13 18:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,25.4485,0.0,0.0
190,2024-11-13 19:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,24.8485,0.0,0.0
191,2024-11-13 20:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,24.1985,0.0,0.0
192,2024-11-13 21:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,23.6985,0.0,0.0
193,2024-11-13 22:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,23.3485,0.0,0.0
194,2024-11-13 23:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,23.0485,0.0,0.0
195,2024-11-14 00:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,22.998499,10.0,0.0
196,2024-11-14 01:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,23.3985,45.0,0.3
197,2024-11-14 02:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,23.248499,58.0,0.5
198,2024-11-14 03:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,23.1985,53.0,0.6
199,2024-11-14 04:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,23.6485,45.0,0.3
200,2024-11-14 05:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,24.8485,25.0,0.0
201,2024-11-14 06:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,26.3985,10.0,0.0
202,2024-11-14 07:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,27.998499,8.0,0.0
203,2024-11-14 08:00:00+00:00,4,Belet Weyne,4.7358,45.2036,4.75,45.25,29.6985,0.0,0.0
