station_id,reading,reading_date,rain_sum,temperature_2m_max,temperature_2m_min
5,1.9,2023-01-01,3.2,31.563,23.863
5,1.8,2023-01-02,0.0,33.963,23.463001
5,1.82,2023-01-03,0.0,34.563,22.463001
5,1.77,2023-01-04,0.0,35.313,22.463001
5,1.72,2023-01-05,0.0,35.563,21.963001
5,1.68,2023-01-06,0.0,36.463,23.063
5,1.64,2023-01-07,0.0,35.713,22.663
5,1.6,2023-01-08,0.1,36.063,22.463001
5,1.55,2023-01-09,0.3,34.563,23.763
5,1.52,2023-01-10,0.0,36.213,22.713001
5,1.52,2023-01-11,0.0,35.363,21.663
5,1.5,2023-01-12,0.0,35.263,21.513
5,1.5,2023-01-13,0.0,34.863,22.563
5,1.48,2023-01-14,0.0,35.613,22.863
5,1.48,2023-01-15,0.0,34.863,21.663
5,1.48,2023-01-16,0.0,35.363,21.063
5,1.48,2023-01-17,0.0,35.963,20.763
5,1.46,2023-01-18,0.0,35.713,22.563
5,1.46,2023-01-19,0.0,35.513,23.513
5,1.46,2023-01-20,1.5000001,35.013,24.263
5,1.44,2023-01-21,1.3000001,35.013,23.863
5,1.44,2023-01-22,0.0,36.213,22.813
5,1.44,2023-01-23,0.0,36.063,22.563
5,1.44,2023-01-24,0.0,35.913002,22.213001
5,1.44,2023-01-25,0.0,35.813,21.463001
5,1.44,2023-01-26,0.0,35.663002,21.713001
5,1.42,2023-01-27,0.0,35.163002,21.463001
5,1.42,2023-01-28,0.0,35.763,21.063
5,1.42,2023-01-29,0.0,34.163002,22.963001
5,1.42,2023-01-30,0.0,35.763,22.163
5,1.42,2023-01-31,0.0,36.563,21.463001
5,1.4,2023-02-01,0.0,36.813,21.363
5,1.4,2023-02-02,0.0,36.463,22.263
5,1.4,2023-02-03,0.0,36.413002,21.663
5,1.4,2023-02-04,0.0,36.163002,21.113
5,1.4,2023-02-05,0.1,35.913002,21.963001
5,1.4,2023-02-06,0.0,35.813,22.663
5,1.4,2023-02-07,0.0,35.913002,22.663
5,1.4,2023-02-08,0.0,36.213,21.663
5,1.4,2023-02-09,0.0,36.413002,21.913
5,1.38,2023-02-10,0.0,35.713,21.563
5,1.38,2023-02-11,0.0,35.913002,22.163
5,1.38,2023-02-12,0.0,35.463,21.813
5,1.38,2023-02-13,0.0,36.563,22.313
5,1.36,2023-02-14,0.0,36.613,22.363
5,1.36,2023-02-15,0.0,35.963,22.063
5,1.38,2023-02-16,0.1,36.063,23.213001
5,1.36,2023-02-17,0.0,36.163002,23.213001
5,1.36,2023-02-18,0.0,35.763,21.963001
5,1.36,2023-02-19,0.0,35.613,22.063
5,1.36,2023-02-20,0.0,35.863,21.763
5,1.36,2023-02-21,0.0,36.263,22.263
5,1.32,2023-02-22,0.0,36.463,22.913
5,1.32,2023-02-23,0.0,36.513,23.113
5,1.32,2023-02-24,0.0,37.463,23.463001
5,1.32,2023-02-25,0.0,36.913002,23.363
5,1.32,2023-02-26,0.0,35.863,23.213001
5,1.32,2023-02-27,0.0,36.613,22.913
5,1.32,2023-02-28,0.0,37.513,22.363
5,1.3,2023-03-01,0.0,36.563,23.263
5,1.3,2023-03-02,0.0,37.263,22.863
5,1.3,2023-03-03,0.0,36.963,23.413
5,1.3,2023-03-04,0.0,36.813,23.163
5,1.3,2023-03-05,0.0,37.013,23.613
5,1.3,2023-03-06,0.0,37.763,23.813
5,1.3,2023-03-07,0.0,37.663002,24.213001
5,1.3,2023-03-08,0.0,38.013,24.263
5,1.3,2023-03-09,0.0,38.513,24.163
5,1.3,2023-03-10,0.2,37.613,24.513
5,1.3,2023-03-11,0.1,37.063,24.913
5,1.3,2023-03-12,2.6,35.363,24.763
5,1.3,2023-03-13,2.0,35.863,25.163
5,1.3,2023-03-14,0.2,37.663002,23.513
5,1.3,2023-03-15,1.8000001,36.413002,24.513
5,1.3,2023-03-16,4.1000004,31.913,24.413
5,1.3,2023-03-17,5.5,34.313,24.363
5,1.32,2023-03-18,1.1,35.363,22.563
5,1.3,2023-03-19,4.3999996,35.513,23.813
5,1.3,2023-03-20,11.099999,35.563,24.163
5,1.3,2023-03-21,0.0,34.363,24.713001
5,1.3,2023-03-22,1.3000001,36.113,24.063
5,1.3,2023-03-23,6.9999995,35.013,23.313
5,1.37,2023-03-24,12.8,33.513,24.213001
5,1.5,2023-03-25,0.2,33.613,22.813
5,1.78,2023-03-26,0.0,34.863,23.313
5,2.22,2023-03-27,0.5,35.213,23.113
5,2.65,2023-03-28,1.1,33.963,23.263
5,3.08,2023-03-29,0.6,35.563,22.513
5,3.52,2023-03-30,0.7,35.463,23.013
5,3.7,2023-03-31,0.0,36.713,23.113
5,4.0,2023-04-01,4.3,37.413002,24.313
5,4.22,2023-04-02,9.1,35.413002,23.913
5,4.45,2023-04-03,6.9999995,33.713,22.763
5,4.8,2023-04-04,1.6,34.563,23.663
5,5.0,2023-04-05,1.1,34.763,23.963001
5,5.09,2023-04-06,0.4,35.063,24.113
5,5.2,2023-04-07,0.3,36.763,24.613
