,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max
0,2024-11-18 21:00:00+00:00,5.5109997,1.2609999,1.8000002,1.8000002,7.0,73.0,9.983106
1,2024-11-19 21:00:00+00:00,7.4109993,1.8609998,0.0,0.0,0.0,83.0,12.10157
2,2024-11-20 21:00:00+00:00,8.861,1.161,0.0,0.0,0.0,9.0,14.20062
3,2024-11-21 21:00:00+00:00,8.160999,1.161,0.0,0.0,0.0,25.0,17.25373
4,2024-11-22 21:00:00+00:00,6.611,2.161,2.7,2.7,6.0,70.0,16.1198
5,2024-11-23 21:00:00+00:00,7.0109997,0.661,0.6,0.6,6.0,34.0,12.4811535
6,2024-11-24 21:00:00+00:00,8.2109995,-0.53900003,0.0,0.0,0.0,34.0,7.5942073
