,date,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max
0,2024-11-18 21:00:00+00:00,32.1305,24.4305,1.6000003,0.0,9.0,48.0,17.399586
1,2024-11-19 21:00:00+00:00,33.4805,24.4305,0.0,0.0,0.0,8.0,20.620804
2,2024-11-20 21:00:00+00:00,33.6305,23.4305,0.0,0.0,0.0,5.0,18.374111
3,2024-11-21 21:00:00+00:00,33.830498,23.7305,0.0,0.0,0.0,50.0,18.971008
4,2024-11-22 21:00:00+00:00,31.130499,24.3305,2.4,0.0,12.0,36.0,16.548256
5,2024-11-23 21:00:00+00:00,33.4305,22.5805,0.0,0.0,0.0,10.0,19.602652
6,2024-11-24 21:00:00+00:00,34.1305,23.9805,0.0,0.0,0.0,5.0,20.240198
