id,name,riverId,latitude,longitude,region,district,moderate,high,full
17,Bardheere,2,2.35,42.2833,Gedo,Bardheere,7.4,8.2,10.4
4,Belet Weyne,1,4.7358,45.2036,Hiiraan,Belet Weyne,6.5,7.3,8.3
3,Bualle,2,1.2536051,42.5681412,Middle Juba,Bualle,9,10,12
5,Bulo Burti,1,3.85,45.5667,Hiiraan,Bulo Burti,6.5,7.2,8
2,Dollow,2,4.1648797,42.0738435,Gedo,Dollow,4.5,5,6
6,Jowhar,1,2.78,45.5,Middle Shebelle,Jowhar,5,5.25,5.5
1,Luuq,2,3.8,42.55,Gedo,Luuq,5.5,6,7
