district,long_term_monthly_mean,month,region,threshold,value,year
Qoryooley,24.622,08,Lower Shabelle,Alert,16.502,2019
Qoryooley,33.16175,07,Lower Shabelle,Alarm,11.867,2019
Qoryooley,34.56041666666667,06,Lower Shabelle,Alert,14.883,2019
Qoryooley,72.8545,05,Lower Shabelle,Normal,79.928,2019
Qoryooley,85.052375,04,Lower Shabelle,Alarm,30.113,2019
Qoryooley,7.502791666666667,03,Lower Shabelle,Normal,6.802,2019
Qoryooley,0.5652916666666666,02,Lower Shabelle,Normal,0.461,2019
Qoryooley,0.9635,01,Lower Shabelle,Normal,0.862,2019
Rab Dhuure,2.8389166666666665,12,Bakool,Normal,6.808,2019
Rab Dhuure,27.19875,11,Bakool,Normal,58.501,2019
Rab Dhuure,117.16321739130434,10,Bakool,Normal,330.465,2019
Rab Dhuure,7.202208333333333,09,Bakool,Normal,8.342,2019
Rab Dhuure,2.42175,08,Bakool,Normal,2.002,2019
Rab Dhuure,3.337625,07,Bakool,Alert,1.886,2019
Rab Dhuure,1.73575,06,Bakool,Normal,1.77,2019
Rab Dhuure,43.468041666666664,05,Bakool,Normal,87.596,2019
Rab Dhuure,153.72965217391305,04,Bakool,Alarm,58.815,2019
Rab Dhuure,21.568791666666666,03,Bakool,Alarm,5.009,2019
Rab Dhuure,1.0575416666666666,02,Bakool,Normal,0.854,2019
Rab Dhuure,0.39666666666666667,01,Bakool,Normal,0.376,2019
Wanla Weyn,1.6720416666666666,01,Lower Shabelle,Normal,1.464,2019
Kurtunwaarey,10.792541666666667,12,Lower Shabelle,Normal,13.684,2019
Kurtunwaarey,60.377833333333335,11,Lower Shabelle,Normal,83.48,2019
Kurtunwaarey,81.57091304347826,10,Lower Shabelle,Normal,125.122,2019
Kurtunwaarey,12.040208333333334,09,Lower Shabelle,Normal,10.671,2019
Kurtunwaarey,24.048166666666667,08,Lower Shabelle,Normal,24.469,2019
Kurtunwaarey,38.178333333333335,07,Lower Shabelle,Alert,21.409,2019
Kurtunwaarey,39.357875,06,Lower Shabelle,Alert,19.169,2019
Kurtunwaarey,84.62145833333334,05,Lower Shabelle,Normal,122.633,2019
Kurtunwaarey,96.46595833333333,04,Lower Shabelle,Alarm,34.207,2019
Kurtunwaarey,10.082125,03,Lower Shabelle,Alert,5.318,2019
Kurtunwaarey,0.7255,02,Lower Shabelle,Normal,0.779,2019
Kurtunwaarey,0.8582083333333334,01,Lower Shabelle,Normal,0.721,2019
Tayeeglow,0.6472916666666667,01,Bakool,Normal,0.637,2019
Tayeeglow,0.7557083333333333,02,Bakool,Alert,0.535,2019
Tayeeglow,13.430958333333333,03,Bakool,Alarm,3.981,2019
Tayeeglow,86.17575,04,Bakool,Alarm,29.068,2019
Tayeeglow,55.062416666666664,05,Bakool,Normal,132.085,2019
Tayeeglow,6.043666666666667,06,Bakool,Normal,5.59,2019
Tayeeglow,35.049708333333335,07,Bakool,Alert,26.567,2019
Tayeeglow,17.609625,08,Bakool,Alert,12.181,2019
Tayeeglow,8.314833333333333,09,Bakool,Alert,5.453,2019
Tayeeglow,92.26169565217391,10,Bakool,Normal,180.423,2019
Tayeeglow,36.712625,11,Bakool,Normal,100.497,2019
Tayeeglow,2.852666666666667,12,Bakool,Normal,9.36,2019
Ceel Barde,1.209625,12,Bakool,Normal,6.166,2019
Ceel Barde,21.693791666666666,11,Bakool,Normal,67.477,2019
Ceel Barde,102.06413043478261,10,Bakool,Normal,254.706,2019
Ceel Barde,9.343375,09,Bakool,Alert,4.875,2019
Ceel Barde,11.227083333333333,08,Bakool,Alert,8.705,2019
Ceel Barde,11.115666666666666,07,Bakool,Normal,11.449,2019
Ceel Barde,2.2587083333333333,06,Bakool,Normal,2.109,2019
Ceel Barde,47.504583333333336,05,Bakool,Normal,104.402,2019
Ceel Barde,97.95658333333333,04,Bakool,Alarm,31.45,2019
Ceel Barde,14.424416666666668,03,Bakool,Alarm,4.553,2019
Ceel Barde,1.2174166666666666,02,Bakool,Normal,0.98,2019
Ceel Barde,0.7174166666666667,01,Bakool,Normal,0.687,2019
Baraawe,5.963916666666667,12,Lower Shabelle,Normal,10.896,2019
Baraawe,40.414875,11,Lower Shabelle,Normal,55.059,2019
Waajid,0.6355,01,Bakool,Normal,0.603,2019
Waajid,1.0444583333333333,02,Bakool,Normal,0.836,2019
Waajid,24.441541666666666,03,Bakool,Alarm,4.671,2019
Waajid,150.52445833333334,04,Bakool,Alert,61.59,2019
Waajid,47.83825,05,Bakool,Normal,107.534,2019
Waajid,6.586,06,Bakool,Alert,4.936,2019
Waajid,11.089666666666666,07,Bakool,Normal,13.798,2019
Waajid,8.334416666666666,08,Bakool,Alert,5.985,2019
Waajid,10.525708333333334,09,Bakool,Normal,9.158,2019
Waajid,145.3894347826087,10,Bakool,Normal,337.648,2019
Waajid,37.55629166666667,11,Bakool,Normal,92.232,2019
Waajid,4.6995,12,Bakool,Normal,12.132,2019
Baraawe,30.089260869565216,10,Lower Shabelle,Normal,42.269,2019
Baraawe,12.575416666666667,09,Lower Shabelle,Alert,7.669,2019
Baraawe,29.813958333333332,08,Lower Shabelle,Normal,27.485,2019
Baraawe,41.404,07,Lower Shabelle,Alert,28.88,2019
Baraawe,56.80316666666667,06,Lower Shabelle,Alert,25.159,2019
Baraawe,82.99758333333334,05,Lower Shabelle,Normal,96.26,2019
Baraawe,77.72691666666667,04,Lower Shabelle,Alarm,16.887,2019
Baraawe,4.326375,03,Lower Shabelle,Alert,1.92,2019
Baraawe,0.4036666666666667,02,Lower Shabelle,Normal,0.382,2019
Baraawe,0.425625,01,Lower Shabelle,Normal,0.425,2019
Xudur,0.4505416666666667,01,Bakool,Normal,0.442,2019
Xudur,0.65,02,Bakool,Normal,0.528,2019
Xudur,12.069416666666667,03,Bakool,Alarm,3.004,2019
Xudur,103.61141666666667,04,Bakool,Alarm,35.75,2019
Xudur,52.686458333333334,05,Bakool,Normal,111.427,2019
Xudur,2.3320833333333333,06,Bakool,Alert,1.319,2019
Xudur,11.701083333333333,07,Bakool,Normal,10.559,2019
Xudur,9.04975,08,Bakool,Normal,7.567,2019
Xudur,17.363166666666668,09,Bakool,Alert,12.291,2019
Xudur,130.83986956521738,10,Bakool,Normal,301.678,2019
Xudur,20.032833333333333,11,Bakool,Normal,46.571,2019
Xudur,1.418,12,Bakool,Normal,7.484,2019
Afgooye,13.540791666666667,12,Lower Shabelle,Normal,11.937,2019
Afgooye,68.10739130434783,10,Lower Shabelle,Normal,77.474,2019
Afgooye,6.272708333333333,09,Lower Shabelle,Alert,3.419,2019
Afgooye,12.918375,08,Lower Shabelle,Alert,7.297,2019
Afgooye,28.966291666666667,07,Lower Shabelle,Alarm,7.863,2019
Afgooye,30.081583333333334,06,Lower Shabelle,Alarm,11.208,2019
Afgooye,64.68733333333333,05,Lower Shabelle,Normal,54.952,2019
Afgooye,72.53758333333333,04,Lower Shabelle,Alert,30.456,2019
Afgooye,6.557166666666666,03,Lower Shabelle,Normal,6.58,2019
Afgooye,0.8055,02,Lower Shabelle,Alert,0.552,2019
Afgooye,1.3696666666666668,01,Lower Shabelle,Alert,1.085,2019
Baydhaba,1.2360416666666667,01,Bay,Normal,1.096,2019
Baydhaba,1.3214166666666667,02,Bay,Alert,0.932,2019
Baydhaba,25.55816666666667,03,Bay,Alarm,6.653,2019
Baydhaba,138.56620833333332,04,Bay,Alert,55.429,2019
Baydhaba,65.44441666666667,05,Bay,Normal,129.11,2019
Baydhaba,11.44025,06,Bay,Alert,8.799,2019
Baydhaba,22.523416666666666,07,Bay,Normal,19.79,2019
Baydhaba,14.981416666666666,08,Bay,Alert,11.493,2019
Baydhaba,7.334208333333334,09,Bay,Normal,7.223,2019
Baydhaba,146.51639130434782,10,Bay,Normal,328.556,2019
Baydhaba,61.451541666666664,11,Bay,Normal,142.822,2019
Baydhaba,8.921541666666666,12,Bay,Normal,17.771,2019
Qansax Dheere,18.488958333333333,12,Bay,Normal,25.628,2019
Qansax Dheere,71.35604166666667,11,Bay,Normal,140.818,2019
Qansax Dheere,126.77695652173914,10,Bay,Normal,326.994,2019
Qansax Dheere,4.742916666666667,09,Bay,Normal,4.768,2019
Qansax Dheere,9.505666666666666,08,Bay,Normal,11.632,2019
Qansax Dheere,15.000583333333333,07,Bay,Normal,17.512,2019
Qansax Dheere,7.480708333333333,06,Bay,Alert,5.034,2019
Qansax Dheere,47.42066666666667,05,Bay,Normal,66.685,2019
Qansax Dheere,135.441375,04,Bay,Alert,64.283,2019
Marka,0.9458333333333333,01,Lower Shabelle,Normal,0.856,2019
Marka,0.27758333333333335,02,Lower Shabelle,Alert,0.206,2019
Qansax Dheere,31.015125,03,Bay,Alarm,9.023,2019
Qansax Dheere,1.7055416666666667,02,Bay,Alert,1.219,2019
Qansax Dheere,1.2495833333333333,01,Bay,Alert,0.996,2019
Marka,4.081916666666666,03,Lower Shabelle,Normal,3.704,2019
Marka,51.84866666666667,04,Lower Shabelle,Alarm,18.216,2019
Marka,46.40525,05,Lower Shabelle,Alert,30.895,2019
Marka,37.725791666666666,06,Lower Shabelle,Alarm,15.084,2019
Marka,36.13225,07,Lower Shabelle,Alarm,12.618,2019
Marka,28.778375,08,Lower Shabelle,Alert,20.947,2019
Marka,8.339791666666667,09,Lower Shabelle,Alert,4.276,2019
Marka,21.445652173913043,10,Lower Shabelle,Normal,22.173,2019
Marka,38.332375,11,Lower Shabelle,Normal,38.769,2019
Marka,6.7712916666666665,12,Lower Shabelle,Normal,6.393,2019
Buur Hakaba,0.9489583333333333,01,Bay,Normal,0.859,2019
Buur Hakaba,1.3125,02,Bay,Normal,1.299,2019
Buur Hakaba,13.893708333333333,03,Bay,Alert,6.083,2019
Buur Hakaba,123.55329166666667,04,Bay,Alarm,45.512,2019
Buur Hakaba,84.04983333333334,05,Bay,Normal,143.957,2019
Buur Hakaba,23.096625,06,Bay,Alert,18.173,2019
Buur Hakaba,26.594208333333334,07,Bay,Alert,19.967,2019
Buur Hakaba,15.800666666666666,08,Bay,Alert,12.562,2019
Buur Hakaba,9.624375,09,Bay,Normal,8.054,2019
Buur Hakaba,117.56856521739131,10,Bay,Normal,219.997,2019
Buur Hakaba,63.72708333333333,11,Bay,Normal,115.293,2019
Buur Hakaba,10.383583333333334,12,Bay,Normal,12.914,2019
Sablaale,14.252875,12,Lower Shabelle,Normal,30.225,2019
Sablaale,82.45270833333333,11,Lower Shabelle,Normal,142.368,2019
Sablaale,89.34878260869566,10,Lower Shabelle,Normal,167.95,2019
Sablaale,15.461416666666667,09,Lower Shabelle,Normal,13.643,2019
Sablaale,19.581958333333333,08,Lower Shabelle,Normal,17.04,2019
Sablaale,41.74220833333333,07,Lower Shabelle,Normal,34.362,2019
Sablaale,50.698791666666665,06,Lower Shabelle,Alert,24.97,2019
Sablaale,118.52583333333334,05,Lower Shabelle,Normal,212.518,2019
Sablaale,128.811,04,Lower Shabelle,Alarm,50.11,2019
Sablaale,11.212125,03,Lower Shabelle,Alert,6.86,2019
Sablaale,0.9485,02,Lower Shabelle,Normal,0.944,2019
Sablaale,0.8073333333333333,01,Lower Shabelle,Normal,0.767,2019
Sablaale,82.45270833333333,11,Lower Shabelle,Alarm,31.088,2018
Sablaale,14.252875,12,Lower Shabelle,Normal,44.23,2018
Diinsoor,17.273208333333333,12,Bay,Normal,94.479,2018
Sablaale,128.811,04,Lower Shabelle,Normal,216.491,2018
Marka,0.9458333333333333,01,Lower Shabelle,Normal,1.079,2018
Marka,0.27758333333333335,02,Lower Shabelle,Normal,0.245,2018
Marka,4.081916666666666,03,Lower Shabelle,Normal,4.428,2018
Marka,51.84866666666667,04,Lower Shabelle,Normal,79.725,2018
Marka,46.40525,05,Lower Shabelle,Normal,54.708,2018
Marka,37.725791666666666,06,Lower Shabelle,Normal,31.26,2018
Waajid,0.6355,01,Bakool,Normal,0.672,2018
Marka,36.13225,07,Lower Shabelle,Alert,22.031,2018
Marka,28.778375,08,Lower Shabelle,Normal,33.101,2018
Marka,8.339791666666667,09,Lower Shabelle,Alert,4.224,2018
Marka,21.445652173913043,10,Lower Shabelle,Alert,13.87,2018
Marka,38.332375,11,Lower Shabelle,Alert,15.839,2018
Marka,6.7712916666666665,12,Lower Shabelle,Normal,10.088,2018
Sablaale,11.212125,03,Lower Shabelle,Normal,18.686,2018
Diinsoor,100.89658333333334,11,Bay,Alert,61.851,2018
Diinsoor,95.63869565217391,10,Bay,Alert,57.416,2018
Diinsoor,10.502083333333333,09,Bay,Alert,7.512,2018
Buur Hakaba,10.383583333333334,12,Bay,Normal,31.333,2018
Baraawe,40.414875,11,Lower Shabelle,Alert,16.827,2018
Baraawe,30.089260869565216,10,Lower Shabelle,Alert,23.062,2018
Baraawe,12.575416666666667,09,Lower Shabelle,Alert,6.239,2018
Baraawe,29.813958333333332,08,Lower Shabelle,Normal,28.857,2018
Baraawe,41.404,07,Lower Shabelle,Normal,40.388,2018
Baraawe,56.80316666666667,06,Lower Shabelle,Alert,33.062,2018
Baraawe,82.99758333333334,05,Lower Shabelle,Normal,190.802,2018
Baraawe,77.72691666666667,04,Lower Shabelle,Normal,151.271,2018
Baraawe,4.326375,03,Lower Shabelle,Normal,8.927,2018
Baraawe,0.4036666666666667,02,Lower Shabelle,Normal,0.42,2018
Ceel Barde,47.504583333333336,05,Bakool,Normal,69.467,2018
Ceel Barde,97.95658333333333,04,Bakool,Normal,208.703,2018
Wanla Weyn,17.284125,07,Lower Shabelle,Alert,9.233,2018
Wanla Weyn,6.404541666666667,08,Lower Shabelle,Normal,10.972,2018
Wanla Weyn,5.0369166666666665,09,Lower Shabelle,Alert,2.881,2018
Diinsoor,11.990958333333333,08,Bay,Normal,17.15,2018
Diinsoor,23.336333333333332,07,Bay,Normal,33.84,2018
Diinsoor,20.421166666666668,06,Bay,Normal,16.437,2018
Diinsoor,85.290375,05,Bay,Normal,208.152,2018
Diinsoor,126.25741666666667,04,Bay,Normal,190.592,2018
Diinsoor,24.754541666666668,03,Bay,Normal,48.95,2018
Qansax Dheere,1.7055416666666667,02,Bay,Normal,1.785,2018
Qansax Dheere,1.2495833333333333,01,Bay,Normal,1.176,2018
Buur Hakaba,63.72708333333333,11,Bay,Alert,33.116,2018
Buur Hakaba,117.56856521739131,10,Bay,Alarm,46.191,2018
Buur Hakaba,9.624375,09,Bay,Alert,6.337,2018
Waajid,24.441541666666666,03,Bakool,Normal,48.938,2018
Waajid,1.0444583333333333,02,Bakool,Normal,0.907,2018
Buur Hakaba,15.800666666666666,08,Bay,Normal,25.691,2018
Buur Hakaba,26.594208333333334,07,Bay,Normal,23.681,2018
Qoryooley,55.762708333333336,11,Lower Shabelle,Alert,23.862,2018
Qoryooley,11.00325,12,Lower Shabelle,Normal,31.916,2018
Buur Hakaba,23.096625,06,Bay,Normal,20.518,2018
Buur Hakaba,84.04983333333334,05,Bay,Normal,145.451,2018
Buur Hakaba,123.55329166666667,04,Bay,Normal,173.939,2018
Sablaale,0.9485,02,Lower Shabelle,Normal,0.951,2018
Xudur,0.4505416666666667,01,Bakool,Normal,0.465,2018
Xudur,0.65,02,Bakool,Normal,0.561,2018
Xudur,12.069416666666667,03,Bakool,Normal,23.306,2018
Xudur,103.61141666666667,04,Bakool,Normal,188.742,2018
Xudur,52.686458333333334,05,Bakool,Normal,82.536,2018
Xudur,2.3320833333333333,06,Bakool,Alert,1.555,2018
Xudur,11.701083333333333,07,Bakool,Alert,8.084,2018
Xudur,9.04975,08,Bakool,Normal,8.966,2018
Xudur,17.363166666666668,09,Bakool,Normal,27.128,2018
Xudur,130.83986956521738,10,Bakool,Alert,87.84,2018
Xudur,20.032833333333333,11,Bakool,Alert,11.668,2018
Xudur,1.418,12,Bakool,Normal,1.78,2018
Wanla Weyn,1.6720416666666666,01,Lower Shabelle,Normal,1.789,2018
Qoryooley,0.9635,01,Lower Shabelle,Normal,1.12,2018
Qoryooley,0.5652916666666666,02,Lower Shabelle,Normal,0.551,2018
Qoryooley,7.502791666666667,03,Lower Shabelle,Normal,15.957,2018
Qoryooley,85.052375,04,Lower Shabelle,Normal,109.02,2018
Sablaale,0.8073333333333333,01,Lower Shabelle,Normal,0.869,2018
Wanla Weyn,1.184125,02,Lower Shabelle,Normal,1.022,2018
Rab Dhuure,0.39666666666666667,01,Bakool,Normal,0.402,2018
Rab Dhuure,1.0575416666666666,02,Bakool,Normal,0.963,2018
Rab Dhuure,21.568791666666666,03,Bakool,Normal,35.173,2018
Rab Dhuure,153.72965217391305,04,Bakool,Normal,249.287,2018
Rab Dhuure,43.468041666666664,05,Bakool,Normal,94.817,2018
Wanla Weyn,111.71121739130434,10,Lower Shabelle,Alert,46.422,2018
Wanla Weyn,61.31475,11,Lower Shabelle,Alert,38.068,2018
Wanla Weyn,8.324708333333334,12,Lower Shabelle,Normal,23.337,2018
Rab Dhuure,1.73575,06,Bakool,Alert,1.252,2018
Baraawe,5.963916666666667,12,Lower Shabelle,Normal,14.939,2018
Rab Dhuure,3.337625,07,Bakool,Alarm,1.176,2018
Rab Dhuure,2.42175,08,Bakool,Normal,2.563,2018
Rab Dhuure,7.202208333333333,09,Bakool,Normal,15.109,2018
Rab Dhuure,117.16321739130434,10,Bakool,Alert,72.723,2018
Waajid,8.334416666666666,08,Bakool,Normal,9.066,2018
Sablaale,50.698791666666665,06,Lower Shabelle,Alert,37.448,2018
Waajid,11.089666666666666,07,Bakool,Alert,8.423,2018
Waajid,6.586,06,Bakool,Normal,6.118,2018
Waajid,47.83825,05,Bakool,Normal,100.575,2018
Qansax Dheere,15.000583333333333,07,Bay,Normal,20.282,2018
Kurtunwaarey,0.8582083333333334,01,Lower Shabelle,Normal,0.888,2018
Kurtunwaarey,0.7255,02,Lower Shabelle,Normal,0.72,2018
Kurtunwaarey,10.082125,03,Lower Shabelle,Normal,19.398,2018
Tayeeglow,2.852666666666667,12,Bakool,Normal,6.525,2018
Tayeeglow,36.712625,11,Bakool,Alert,22.868,2018
Tayeeglow,92.26169565217391,10,Bakool,Alert,57.469,2018
Tayeeglow,8.314833333333333,09,Bakool,Normal,10.328,2018
Tayeeglow,17.609625,08,Bakool,Normal,22.891,2018
Tayeeglow,35.049708333333335,07,Bakool,Normal,28.718,2018
Tayeeglow,6.043666666666667,06,Bakool,Normal,4.945,2018
Tayeeglow,55.062416666666664,05,Bakool,Normal,72.284,2018
Tayeeglow,86.17575,04,Bakool,Normal,142.612,2018
Tayeeglow,13.430958333333333,03,Bakool,Normal,24.367,2018
Tayeeglow,0.7557083333333333,02,Bakool,Alert,0.573,2018
Tayeeglow,0.6472916666666667,01,Bakool,Normal,0.686,2018
Qansax Dheere,7.480708333333333,06,Bay,Alert,5.959,2018
Qansax Dheere,47.42066666666667,05,Bay,Normal,109.201,2018
Sablaale,118.52583333333334,05,Lower Shabelle,Normal,293.1,2018
Sablaale,89.34878260869566,10,Lower Shabelle,Alert,50.434,2018
Qansax Dheere,135.441375,04,Bay,Normal,176.337,2018
Qansax Dheere,31.015125,03,Bay,Normal,48.446,2018
Baydhaba,1.2360416666666667,01,Bay,Normal,1.249,2018
Kurtunwaarey,96.46595833333333,04,Lower Shabelle,Normal,161.54,2018
Baydhaba,1.3214166666666667,02,Bay,Normal,1.316,2018
Kurtunwaarey,84.62145833333334,05,Lower Shabelle,Normal,132.727,2018
Ceel Barde,14.424416666666668,03,Bakool,Normal,22.022,2018
Ceel Barde,1.2174166666666666,02,Bakool,Normal,1.044,2018
Ceel Barde,0.7174166666666667,01,Bakool,Normal,0.721,2018
Kurtunwaarey,39.357875,06,Lower Shabelle,Alert,26.86,2018
Kurtunwaarey,38.178333333333335,07,Lower Shabelle,Normal,36.14,2018
Kurtunwaarey,24.048166666666667,08,Lower Shabelle,Normal,28.325,2018
Kurtunwaarey,12.040208333333334,09,Lower Shabelle,Alert,7.321,2018
Kurtunwaarey,81.57091304347826,10,Lower Shabelle,Alert,41.179,2018
Kurtunwaarey,60.377833333333335,11,Lower Shabelle,Alarm,23.114,2018
Afgooye,13.540791666666667,12,Lower Shabelle,Normal,23.962,2018
Afgooye,72.09154166666667,11,Lower Shabelle,Alert,38.227,2018
Afgooye,68.10739130434783,10,Lower Shabelle,Alert,42.061,2018
Afgooye,6.272708333333333,09,Lower Shabelle,Alert,3.16,2018
Afgooye,12.918375,08,Lower Shabelle,Normal,17.229,2018
Afgooye,28.966291666666667,07,Lower Shabelle,Alert,14.913,2018
Afgooye,30.081583333333334,06,Lower Shabelle,Alert,22.242,2018
Afgooye,64.68733333333333,05,Lower Shabelle,Normal,82.804,2018
Baydhaba,25.55816666666667,03,Bay,Normal,50.996,2018
Baydhaba,138.56620833333332,04,Bay,Normal,217.386,2018
Baydhaba,65.44441666666667,05,Bay,Normal,144.261,2018
Kurtunwaarey,10.792541666666667,12,Lower Shabelle,Normal,36.048,2018
Baydhaba,11.44025,06,Bay,Normal,11.434,2018
Baydhaba,22.523416666666666,07,Bay,Normal,19.397,2018
Baydhaba,14.981416666666666,08,Bay,Normal,17.867,2018
Baydhaba,7.334208333333334,09,Bay,Normal,10.815,2018
Baydhaba,146.51639130434782,10,Bay,Alert,71.43,2018
Baydhaba,61.451541666666664,11,Bay,Alert,39.167,2018
Baydhaba,8.921541666666666,12,Bay,Normal,21.008,2018
Qoryooley,72.8545,05,Lower Shabelle,Normal,93.798,2018
Rab Dhuure,27.19875,11,Bakool,Alert,17.979,2018
Qoryooley,34.56041666666667,06,Lower Shabelle,Normal,29.416,2018
Qoryooley,33.16175,07,Lower Shabelle,Alert,21.241,2018
Qoryooley,24.622,08,Lower Shabelle,Normal,31.885,2018
Afgooye,72.53758333333333,04,Lower Shabelle,Normal,84.976,2018
Afgooye,6.557166666666666,03,Lower Shabelle,Normal,9.3,2018
Afgooye,0.8055,02,Lower Shabelle,Normal,0.729,2018
Afgooye,1.3696666666666668,01,Lower Shabelle,Normal,1.466,2018
Qoryooley,8.802541666666666,09,Lower Shabelle,Alert,4.817,2018
Qoryooley,73.18034782608696,10,Lower Shabelle,Alert,32.571,2018
Baraawe,0.425625,01,Lower Shabelle,Normal,0.48,2018
Waajid,150.52445833333334,04,Bakool,Normal,233.175,2018
Rab Dhuure,2.8389166666666665,12,Bakool,Normal,3.756,2018
Ceel Barde,2.2587083333333333,06,Bakool,Alert,1.323,2018
Ceel Barde,11.115666666666666,07,Bakool,Alert,8.052,2018
Ceel Barde,11.227083333333333,08,Bakool,Normal,10.343,2018
Ceel Barde,9.343375,09,Bakool,Normal,18.404,2018
Ceel Barde,102.06413043478261,10,Bakool,Alert,68.143,2018
Ceel Barde,21.693791666666666,11,Bakool,Alert,9.47,2018
Ceel Barde,1.209625,12,Bakool,Normal,1.116,2018
Qansax Dheere,18.488958333333333,12,Bay,Normal,77.667,2018
Qansax Dheere,71.35604166666667,11,Bay,Alert,45.629,2018
Qansax Dheere,126.77695652173914,10,Bay,Alert,84.079,2018
Qansax Dheere,4.742916666666667,09,Bay,Normal,5.791,2018
Waajid,10.525708333333334,09,Bakool,Normal,14.405,2018
Qansax Dheere,9.505666666666666,08,Bay,Normal,14.101,2018
Diinsoor,1.7899583333333333,02,Bay,Normal,1.499,2018
Diinsoor,1.1370833333333332,01,Bay,Normal,1.026,2018
Buur Hakaba,13.893708333333333,03,Bay,Normal,27.044,2018
Buur Hakaba,1.3125,02,Bay,Normal,1.093,2018
Sablaale,15.461416666666667,09,Lower Shabelle,Alert,7.548,2018
Sablaale,19.581958333333333,08,Lower Shabelle,Normal,19.096,2018
Waajid,4.6995,12,Bakool,Normal,6.7,2018
Waajid,37.55629166666667,11,Bakool,Alert,25.782,2018
Waajid,145.3894347826087,10,Bakool,Alert,82.659,2018
Wanla Weyn,9.543625,03,Lower Shabelle,Normal,12.291,2018
Wanla Weyn,81.25175,04,Lower Shabelle,Normal,98.947,2018
Wanla Weyn,58.84133333333333,05,Lower Shabelle,Normal,96.062,2018
Wanla Weyn,15.968333333333334,06,Lower Shabelle,Alert,12.313,2018
Buur Hakaba,0.9489583333333333,01,Bay,Normal,0.988,2018
Sablaale,41.74220833333333,07,Lower Shabelle,Normal,50.139,2018
Ceel Barde,0.7174166666666667,01,Bakool,Normal,0.711,2017
Wanla Weyn,81.25175,04,Lower Shabelle,Alert,34.82,2017
Wanla Weyn,9.543625,03,Lower Shabelle,Alarm,2.919,2017
Wanla Weyn,1.184125,02,Lower Shabelle,Normal,0.991,2017
Diinsoor,17.273208333333333,12,Bay,Alarm,2.673,2017
Diinsoor,100.89658333333334,11,Bay,Normal,118.211,2017
Diinsoor,95.63869565217391,10,Bay,Alarm,31.166,2017
Diinsoor,10.502083333333333,09,Bay,Normal,13.29,2017
Diinsoor,11.990958333333333,08,Bay,Alert,9.398,2017
Sablaale,14.252875,12,Lower Shabelle,Alarm,2.99,2017
Sablaale,82.45270833333333,11,Lower Shabelle,Normal,108.159,2017
Sablaale,89.34878260869566,10,Lower Shabelle,Alert,49.745,2017
Sablaale,15.461416666666667,09,Lower Shabelle,Normal,16.93,2017
Sablaale,19.581958333333333,08,Lower Shabelle,Normal,15.776,2017
Qoryooley,85.052375,04,Lower Shabelle,Alert,38.495,2017
Qoryooley,7.502791666666667,03,Lower Shabelle,Alarm,1.981,2017
Qoryooley,0.5652916666666666,02,Lower Shabelle,Normal,0.489,2017
Qoryooley,0.9635,01,Lower Shabelle,Normal,0.848,2017
Wanla Weyn,8.324708333333334,12,Lower Shabelle,Alarm,1.946,2017
Qoryooley,72.8545,05,Lower Shabelle,Normal,80.686,2017
Qoryooley,34.56041666666667,06,Lower Shabelle,Alert,16.392,2017
Qoryooley,33.16175,07,Lower Shabelle,Normal,26.714,2017
Sablaale,41.74220833333333,07,Lower Shabelle,Alert,28.461,2017
Sablaale,50.698791666666665,06,Lower Shabelle,Alert,28.496,2017
Baraawe,5.963916666666667,12,Lower Shabelle,Alarm,1.731,2017
Baraawe,40.414875,11,Lower Shabelle,Normal,52.57,2017
Baraawe,30.089260869565216,10,Lower Shabelle,Alert,20.38,2017
Baraawe,12.575416666666667,09,Lower Shabelle,Normal,10.097,2017
Baraawe,29.813958333333332,08,Lower Shabelle,Normal,31.178,2017
Baraawe,41.404,07,Lower Shabelle,Alert,31.703,2017
Baraawe,56.80316666666667,06,Lower Shabelle,Alert,30.161,2017
Baraawe,82.99758333333334,05,Lower Shabelle,Normal,119.822,2017
Baraawe,77.72691666666667,04,Lower Shabelle,Normal,74.586,2017
Baraawe,4.326375,03,Lower Shabelle,Alert,1.823,2017
Tayeeglow,86.17575,04,Bakool,Alert,42.318,2017
Tayeeglow,13.430958333333333,03,Bakool,Alert,5.6,2017
Tayeeglow,0.7557083333333333,02,Bakool,Alert,0.55,2017
Tayeeglow,0.6472916666666667,01,Bakool,Normal,0.631,2017
Sablaale,118.52583333333334,05,Lower Shabelle,Normal,158.707,2017
Sablaale,128.811,04,Lower Shabelle,Normal,110.892,2017
Sablaale,11.212125,03,Lower Shabelle,Alarm,2.317,2017
Sablaale,0.9485,02,Lower Shabelle,Normal,0.871,2017
Sablaale,0.8073333333333333,01,Lower Shabelle,Normal,0.738,2017
Baraawe,0.4036666666666667,02,Lower Shabelle,Normal,0.388,2017
Baraawe,0.425625,01,Lower Shabelle,Normal,0.435,2017
Rab Dhuure,27.19875,11,Bakool,Normal,46.177,2017
Buur Hakaba,10.383583333333334,12,Bay,Alarm,1.878,2017
Buur Hakaba,63.72708333333333,11,Bay,Normal,90.61,2017
Buur Hakaba,117.56856521739131,10,Bay,Alarm,34.436,2017
Buur Hakaba,9.624375,09,Bay,Normal,11.847,2017
Buur Hakaba,15.800666666666666,08,Bay,Normal,13.412,2017
Buur Hakaba,26.594208333333334,07,Bay,Normal,21.647,2017
Buur Hakaba,23.096625,06,Bay,Alert,13.479,2017
